Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-15,Gulf,73.09166666666667,83.42,0.0002,0.0005,0.0023,77,82.43,77.57,71.42,17166.0
2020-03-16,Gulf,73.17083333333332,83.61,0.0001,0.0004,0.0017,78,83.42,79.12,71.62,17166.0
2020-03-09,Hernando,69.74166666666666,75.38,0.0007,0.0035,0.0091,71,73.16,84.54,76.82,214754.0
2020-03-10,Hernando,71.09583333333333,78.63,0.0007,0.0023,0.0086,72,75.38,70.49,80.07,214754.0
2020-03-11,Hernando,71.44999999999999,79.48,0.0005,0.0019,0.0081,73,78.63,67.89,85.32,214754.0
2020-03-12,Hernando,72.39166666666665,81.74,0.0004,0.0016,0.007899999999999999,74,79.48,73.16,84.54,214754.0
2020-03-13,Hernando,72.94166666666666,83.06,0.0001,0.001,0.0052,75,81.74,75.38,70.49,214754.0
2020-03-14,Hernando,74.70416666666667,87.29,0.0001,0.0006000000000000001,0.0034,76,83.06,78.63,67.89,214754.0
2020-03-15,Hernando,73.99166666666666,85.58,0.0001,0.00030000000000000003,0.0026000000000000003,77,87.29,79.48,73.16,214754.0
2020-03-16,Hernando,74.52083333333333,86.85,0.0001,0.00030000000000000003,0.002,78,85.58,81.74,75.38,214754.0
2020-03-09,Hillsborough,70.09583333333333,76.23,0.0,0.0,0.0,71,74.69,85.23,79.11,1459504.0
2020-03-10,Hillsborough,71.92083333333332,80.61,0.0003,0.0003,0.0003,72,76.23,74.16,82.76,1459504.0
2020-03-11,Hillsborough,72.55,82.12,0.0005,0.0007999999999999999,0.0007999999999999999,73,80.61,69.67,86.09,1459504.0
2020-03-12,Hillsborough,73.44166666666666,84.26,0.0001,0.0009,0.0009,74,82.12,74.69,85.23,1459504.0
2020-03-13,Hillsborough,73.91666666666666,85.4,0.0002,0.0008,0.0011,75,84.26,76.23,74.16,1459504.0
2020-03-14,Hillsborough,75.10416666666666,88.25,0.0001,0.0004,0.0012,76,85.4,80.61,69.67,1459504.0
2020-03-15,Hillsborough,74.44583333333333,86.67,0.0001,0.0004,0.0013,77,88.25,82.12,74.69,1459504.0
2020-03-16,Hillsborough,74.9125,87.79,0.0001,0.00030000000000000003,0.0014,78,86.67,84.26,76.23,1459504.0
2020-03-09,Indian River,68.9125,73.39,0.0009,0.0034,0.008,71,72.27,90.93,78.24,163109.0
2020-03-10,Indian River,70.65833333333333,77.58,0.0011,0.0029,0.006999999999999999,72,73.39,77.59,85.38,163109.0
2020-03-11,Indian River,70.93333333333334,78.24,0.0007,0.0027,0.006699999999999999,73,77.58,68.68,89.88,163109.0
2020-03-12,Indian River,72.32083333333333,81.57,0.0005,0.0023,0.006599999999999999,74,78.24,72.27,90.93,163109.0
2020-03-13,Indian River,73.0625,83.35,0.0001,0.0013,0.0058,75,81.57,73.39,77.59,163109.0
2020-03-14,Indian River,73.1,83.44,0.0002,0.0008,0.004399999999999999,76,83.35,77.58,68.68,163109.0
2020-03-15,Indian River,73.29583333333332,83.91,0.0002,0.0005,0.0037,77,83.44,78.24,72.27,163109.0
2020-03-16,Indian River,73.39583333333334,84.15,0.0001,0.0005,0.0029,78,83.91,81.57,73.39,163109.0
2020-03-09,Lee,70.29166666666666,76.7,0.0004,0.0023,0.0046,71,74.92,84.02,79.38,796620.0
2020-03-10,Lee,71.77916666666667,80.27,0.0007,0.0017,0.0046,72,76.7,76.78,81.97,796620.0
2020-03-11,Lee,72.62083333333334,82.29,0.0015,0.0026000000000000003,0.0055000000000000005,73,80.27,72.84,84.72,796620.0
2020-03-12,Lee,73.48333333333332,84.36,0.0006,0.0028,0.0057,74,82.29,74.92,84.02,796620.0
2020-03-13,Lee,73.82083333333333,85.17,0.0001,0.0022,0.0052,75,84.36,76.7,76.78,796620.0
2020-03-14,Lee,74.56666666666666,86.96,0.0001,0.0007999999999999999,0.004,76,85.17,80.27,72.84,796620.0
2020-03-15,Lee,74.30833333333334,86.34,0.0001,0.00030000000000000003,0.0035000000000000005,77,86.96,82.29,74.92,796620.0
